Date,Balance,Deposit Load,Drawdown,Profit,Returns, AverageReturn,AbsDevFromAvrRet,AvrAbsDevs,Recovery Factor,,Profit,Empty
2024.02.20 17:30:38, 7.90,500,0,0,0,0,0,0,13.3,104.97,- 6.18,0
2024.02.20 18:06:48, 10.44,604.97,1.4,2.54,0.321518987,0.321518987,0,0,0,0, 2.54,0
2024.02.20 18:09:03, 10.59,604.97,1.4,0.15,0.014367816,0.167943402,0.153575586,0.076787793,25.76,208.31, 0.15,0
2024.02.20 18:10:20, 10.03,813.28,7.82,-0.56,-0.052880076,0.094335576,0.147215652,0.100263746,208.8,549.39,- 0.56,0
2024.02.20 18:44:43, 11.49,1362.67,7.69,1.46,0.14556331,0.107142509,0.038420801,0.084803009,428.13,1143.86, 1.46,0
2024.02.20 18:58:10, 14.65,2506.53,0,3.16,0.275021758,0.140718359,0.134303399,0.094703087,2633,2410, 3.16,0
2024.02.20 19:01:41, 14.81,96.14,18.26,0.16,0.010921502,0.11908555,0.108164048,0.096946581,99.56,93.68, 0.16,0
2024.02.20 19:08:01, 15.83,2.46,0,1.02,0.068872384,0.11191224,0.043039857,0.08924562,0,0, 1.02,0
2024.02.20 19:09:39, 15.91,0,0,0.08,0.005053696,0.098554922,0.093501227,0.089777571,0,0, 0.08,0
2024.02.20 19:10:43, 16.86,0,0,0.95,0.059710874,0.094238917,0.034528043,0.083638735,0,0, 0.95,0
2024.02.20 19:11:30, 17.29,0,0,0.43,0.025504152,0.08736544,0.061861288,0.08146099,0,0, 0.43,0
2024.02.20 19:17:30, 17.73,0,0,0.44,0.025448236,0.081736603,0.056288368,0.07917257,0,0, 0.44,0
2024.02.20 19:21:17, 18.52,0,0,0.79,0.044557248,0.078638324,0.034081076,0.075414945,0,0, 0.79,0
2024.02.20 19:27:47, 19.05,0,0,0.53,0.028617711,0.074790584,0.046172874,0.073165555,0,0, 0.53,0
2024.02.20 19:29:38, 19.27,0,0,0.22,0.011548556,0.070273297,0.05872474,0.072134068,0,0, 0.22,0
2024.02.20 19:30:57, 20.20,0,0,0.93,0.048261546,0.068805847,0.0205443,0.06869475,0,0, 0.93,0
2024.02.20 19:34:15, 19.46,0,0,-0.74,-0.036633663,0.062215877,0.098849541,0.070579425,29.16,29.16,- 0.74,0
2024.02.20 19:34:16, 17.99,473.3,15.08,-1.47,-0.075539568,0.054112616,0.129652184,0.074054293,65.64,44.86,- 1.47,0
2024.02.20 19:35:27, 17.73,518.16,0,-0.26,-0.014452474,0.050303444,0.064755918,0.073537717,75.31,100.74,- 0.26,0
2024.02.20 19:36:52, 17.95,618.9,0,0.22,0.012408347,0.048308965,0.035900618,0.071556817,7.21,29.7, 0.22,0
2024.02.20 19:37:06, 18.15,648.6,5.65,0.20,0.011142061,0.04645062,0.035308559,0.069744404,-5.01,27.3, 0.20,0
2024.02.20 19:37:28, 18.16,675.9,17.7,0.01,0.000550964,0.044264922,0.043713958,0.068504859,0,0, 0.01,0
2024.02.20 19:38:41, 18.44,675.9,17.7,0.28,0.015418502,0.042953721,0.027535219,0.066642602,0,0, 0.28,0
2024.02.20 19:41:23, 19.66,675.9,17.7,1.22,0.066160521,0.043962713,0.022197808,0.06471022,16.94,28.49, 1.22,0
2024.02.20 19:41:38, 20.29,704.31,27.88,0.63,0.032044761,0.043466131,0.01142137,0.062489851,20.48,72.06, 0.63,0
2024.02.20 19:42:15, 20.39,775.95,13.28,0.10,0.004928536,0.041924627,0.036996091,0.061470101,126.55,12.41, 0.10,0
2024.02.20 19:43:23, 20.51,798.93,8,0.12,0.005885238,0.040538497,0.034653259,0.060438684,25.88,133.67, 0.12,0
2024.02.20 19:48:03, 19.85,869.46,27.31,-0.66,-0.032179425,0.037845241,0.070024665,0.06079372,95.97,173.28,- 0.66,0
2024.02.20 19:53:02, 21.54,1036,32.44,1.69,0.085138539,0.039534287,0.045604252,0.060251239,13.3,104.97, 1.69,0
2024.02.20 19:53:05, 22.36,500,0,0.82,0.038068709,0.03948375,0.001415041,0.058222405,0,0, 0.82,0
2024.02.20 19:59:12, 22.42,604.97,1.4,0.06,0.002683363,0.03825707,0.035573707,0.057467448,0,0, 0.06,0
2024.02.20 20:01:12, 22.54,604.97,1.4,0.12,0.005352364,0.037195628,0.031843264,0.056640862,25.76,208.31, 0.12,0
2024.02.20 20:06:30, 23.59,604.97,1.4,1.05,0.046583851,0.03748901,0.009094841,0.055155049,208.8,549.39, 1.05,0
2024.02.20 20:06:42, 23.72,813.28,7.82,0.13,0.00551081,0.036519974,0.031009164,0.054423355,428.13,1143.86, 0.13,0
2024.02.20 20:11:06, 23.97,1362.67,7.69,0.25,0.010539629,0.035755846,0.025216217,0.053564322,2633,2410, 0.25,0
2024.02.20 20:12:22, 24.03,2506.53,0,0.06,0.002503129,0.034805768,0.032302639,0.052956845,99.56,93.68, 0.06,0
2024.02.20 20:15:15, 24.68,96.14,18.26,0.65,0.027049521,0.034590317,0.007540796,0.051695288,0,0, 0.65,0
2024.02.20 20:19:07, 24.94,2.46,0,0.26,0.010534846,0.033940169,0.023405323,0.050930694,0,0, 0.26,0
2024.02.20 20:24:17, 23.00,0,0,-1.94,-0.077786688,0.030999989,0.108786677,0.05245322,0,0,- 1.94,0
2024.02.20 20:24:19, 20.31,0,0,-2.69,-0.116956522,0.027206232,0.144162754,0.054804747,0,0,- 2.69,0
2024.02.20 20:24:20, 15.47,0,0,-4.84,-0.238306253,0.02056842,0.258874673,0.059906495,0,0,- 4.84,0
