Date,Balance,DepositLoad,Drawdown,Profit,Loss,Total,SharpRatio,ProfitFactor,Recovery Factor
1/12/2024,500,0,0,118.27,13.3,104.97,,,
1/13/2024,604.97,1.4,10.24,0,0,0,,,
1/14/2024,604.97,1.4,0.618,0,0,0,,,
1/15/2024,604.97,1.4,0.618,234.07,25.76,208.31,,,
1/16/2024,813.28,7.82,15.72,758.19,208.8,549.39,,,
1/17/2024,1362.67,7.69,42.13,1571,428.13,1143.86,,,
1/18/2024,2506.53,0,84.74,222.61,2633,2410,,,
1/19/2024,96.14,18.26,93.2,5.88,99.56,93.68,,,
1/20/2024,2.46,0,93.19,0,0,0,,,
1/21/2024,0,0,2.46,0,0,0,,,
1/29/2024,0,0,2.46,0,29.16,29.16,,,
1/30/2024,473.3,15.08,3.33,110.5,65.64,44.86,,,
1/31/2024,518.16,0,8.43,176.05,75.31,100.74,,,
2/1/2024,618.9,0,16.99,36.91,7.21,29.7,,,
2/2/2024,648.6,5.65,1.98,32.31,-5.01,27.3,,,
2/3/2024,675.9,17.7,7.26,0,0,0,,,
2/4/2024,675.9,17.7,3.45,0,0,0,,,
2/5/2024,675.9,17.7,3.45,45.43,16.94,28.49,,,
2/6/2024,704.31,27.88,11.28,92.54,20.48,72.06,,,
2/7/2024,775.95,13.28,12.94,138.96,126.55,12.41,,,
2/8/2024,798.93,8,6.93,159.55,25.88,133.67,,,
2/9/2024,869.46,27.31,0,269.25,95.97,173.28,,,
2/10/2024,1036,32.44,0,,,,,,
,,,,,,,,,
,,,,,,,,,
