Week end,Withdrawal,Earnings,Reinvest (100%),Total Earnings,Balance
10 Dec '23*,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$5,000.00 "
17 Dec '23,($250.00),$796.37 ,$796.37 ,$796.37 ,"$5,546.37 "
24 Dec '23,($250.00),$883.39 ,$883.39 ,"$1,679.76 ","$6,179.76 "
31 Dec '23,($250.00),$984.28 ,$984.28 ,"$2,664.04 ","$6,914.04 "
07 Jan '24,($250.00),"$1,101.23 ","$1,101.23 ","$3,765.27 ","$7,765.27 "
14 Jan '24,($250.00),"$1,236.81 ","$1,236.81 ","$5,002.07 ","$8,752.07 "
21 Jan '24,($250.00),"$1,393.98 ","$1,393.98 ","$6,396.05 ","$9,896.05 "
28 Jan '24,($250.00),"$1,576.18 ","$1,576.18 ","$7,972.23 ","$11,222.23 "
04 Feb '24,($250.00),"$1,787.41 ","$1,787.41 ","$9,759.65 ","$12,759.65 "
11 Feb '24,($250.00),"$2,032.28 ","$2,032.28 ","$11,791.93 ","$14,541.93 "
18 Feb '24,($250.00),"$2,316.15 ","$2,316.15 ","$14,108.08 ","$16,608.08 "
25 Feb '24,($250.00),"$2,645.24 ","$2,645.24 ","$16,753.32 ","$19,003.32 "
03 Mar '24,($250.00),"$3,026.74 ","$3,026.74 ","$19,780.05 ","$21,780.05 "
10 Mar '24,($250.00),"$3,469.00 ","$3,469.00 ","$23,249.05 ","$24,999.05 "
17 Mar '24,($250.00),"$3,981.70 ","$3,981.70 ","$27,230.75 ","$28,730.75 "
20 Mar '24,$0.00 ,"$2,664.12 ","$2,664.12 ","$29,894.86 ","$31,394.86 "
Total,"($3,500.00)","$29,894.86 ","$29,894.86 ","$29,894.86 ","$31,394.86 "
